OV7670,YD-RP2040,物理Pin,说明
3V3,3V3,36,3.3V，勿 5V
GND,GND,3/8/13…,共地
D0,GP8,11,PIO IN bit0（in_base=8）
D1,GP9,12,PIO IN bit1
D2,GP10,14,PIO IN bit2
D3,GP11,15,PIO IN bit3
D4,GP12,16,PIO IN bit4
D5,GP13,18,PIO IN bit5
D6,GP14,19,PIO IN bit6
D7,GP15,20,PIO IN bit7
PCLK,GP18,24,PIO 输入，wait 边沿
HREF,GP17,22,PIO 输入，行门控
VSYNC,GP16,21,GPIO 输入，busy-wait 轮询（帧起止）
XCLK,GP22,29,PWM 出 24 MHz（120MHz/5）
SIOC,GP21,27,硬件 I2C0 SCL 10kHz +4.7k→3V3
SIOD,GP20,26,硬件 I2C0 SDA 10kHz +4.7k→3V3
RESET,3V3,36,常高（或 GP26）
PWDN,GND,3/8/13,低=工作
